_ZN9Object1266createEv kind:function(arm,size=0x10c) addr:0x021586c0
func_ov077_021587cc kind:function(arm,size=0x4) addr:0x021587cc
func_ov077_021587d0 kind:function(arm,size=0x38) addr:0x021587d0
func_ov077_02158808 kind:function(arm,size=0x9c) addr:0x02158808
func_ov077_021588a4 kind:function(arm,size=0x4c) addr:0x021588a4
func_ov077_021588f0 kind:function(arm,size=0xf8) addr:0x021588f0
_ZN9Object12612damagePlayerEP14ActiveColliderP10PlayerBase kind:function(arm,size=0x148) addr:0x021589e8
func_ov077_02158b30 kind:function(arm,size=0x60) addr:0x02158b30
_ZN9Object1263_23Ev kind:function(arm,size=0x28) addr:0x02158b90
_ZN9Object1263_24Ev kind:function(arm,size=0x28) addr:0x02158bb8
_ZN9Object1263_22Ev kind:function(arm,size=0x28) addr:0x02158be0
_ZN9Object1263_31Ev kind:function(arm,size=0x28) addr:0x02158c08
_ZN9Object1263_42Emmmm kind:function(arm,size=0x38) addr:0x02158c30
_ZN9Object1263_21Ev kind:function(arm,size=0x70) addr:0x02158c68
_ZN9Object1263_26Ev kind:function(arm,size=0x28) addr:0x02158cd8
func_ov077_02158d00 kind:function(arm,size=0x60) addr:0x02158d00
func_ov077_02158d60 kind:function(arm,size=0x13c) addr:0x02158d60
func_ov077_02158e9c kind:function(arm,size=0x508) addr:0x02158e9c
func_ov077_021593a4 kind:function(arm,size=0x1ac) addr:0x021593a4
func_ov077_02159550 kind:function(arm,size=0x174) addr:0x02159550
func_ov077_021596c4 kind:function(arm,size=0x3c8) addr:0x021596c4
func_ov077_02159a8c kind:function(arm,size=0xb78) addr:0x02159a8c
func_ov077_0215a604 kind:function(arm,size=0x150) addr:0x0215a604
_ZN9Object12610onUpdate_0Ev kind:function(arm,size=0x8c) addr:0x0215a754
_ZN9Object12613onHeapCreatedEv kind:function(arm,size=0x94) addr:0x0215a7e0
_ZN9Object1268onCreateEv kind:function(arm,size=0x22c) addr:0x0215a874
_ZN9Object1268onRenderEv kind:function(arm,size=0x264) addr:0x0215aaa0
_ZN9Object12614pendingDestroyEv kind:function(arm,size=0x20) addr:0x0215ad04
_ZN9Object1269onDestroyEv kind:function(arm,size=0x24) addr:0x0215ad24
_ZN9Object126D1Ev kind:function(arm,size=0xb8) addr:0x0215ad48
_ZN9Object126D0Ev kind:function(arm,size=0xc0) addr:0x0215ae00
data_ov077_0215aec0 kind:data(any) addr:0x0215aec0
data_ov077_0215aec8 kind:data(any) addr:0x0215aec8
data_ov077_0215aed0 kind:data(any) addr:0x0215aed0
data_ov077_0215aedc kind:data(any) addr:0x0215aedc
data_ov077_0215aeec kind:data(any) addr:0x0215aeec
data_ov077_0215aefc kind:data(any) addr:0x0215aefc
data_ov077_0215af0c kind:data(any) addr:0x0215af0c
data_ov077_0215af1c kind:data(any) addr:0x0215af1c
data_ov077_0215af2c kind:data(any) addr:0x0215af2c
data_ov077_0215af3c kind:data(any) addr:0x0215af3c
data_ov077_0215af4c kind:data(any) addr:0x0215af4c
data_ov077_0215af5c kind:data(any) addr:0x0215af5c
data_ov077_0215af78 kind:data(any) addr:0x0215af78
__sinit_ov077_0215af94 kind:function(arm,size=0x94) addr:0x0215af94
.p__sinit_ov077_0215af94 kind:data(word) addr:0x0215b028
data_ov077_0215b040 kind:data(any) addr:0x0215b040
data_ov077_0215b084 kind:data(any) addr:0x0215b084
data_ov077_0215b088 kind:data(any) addr:0x0215b088
data_ov077_0215b0a4 kind:data(any) addr:0x0215b0a4 ambiguous
data_ov077_0215b0b8 kind:data(any) addr:0x0215b0b8
data_ov077_0215b1e0 kind:bss addr:0x0215b1e0
data_ov077_0215b1e8 kind:bss addr:0x0215b1e8
data_ov077_0215b1f0 kind:bss addr:0x0215b1f0
data_ov077_0215b1f8 kind:bss addr:0x0215b1f8
data_ov077_0215b200 kind:bss addr:0x0215b200
data_ov077_0215b208 kind:bss addr:0x0215b208
data_ov077_0215b210 kind:bss addr:0x0215b210
data_ov077_0215b218 kind:bss addr:0x0215b218
